,Day,Month,Year,DAP,Stage,GD,Z,StExp,StSto,StSen,StSalt,StWeed,CC,CCw,StTr,Kc(Tr),Trx,Tr,TrW,Tr/Trx,WP,Biomass,HI,YieldPart,Brelative,WPet
1,1,11,1979,1,1,16.0,0.30,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
2,2,11,1979,2,1,16.5,0.30,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
3,3,11,1979,3,1,15.5,0.30,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
4,4,11,1979,4,1,14.5,0.30,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
5,5,11,1979,5,1,16.0,0.30,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
6,6,11,1979,6,1,17.0,0.32,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
7,7,11,1979,7,1,18.5,0.38,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
8,8,11,1979,8,1,18.0,0.43,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
9,9,11,1979,9,1,18.0,0.48,-9,-9,-9,0,-9,0.0,0.0,0,-9.00,0.0,0.0,0.0,100,13.8,0.0,-9.9,0.0,-9.0,0.0
10,10,11,1979,10,2,16.5,0.52,-9,0,0,0,0,7.3,7.3,0,0.13,0.2,0.2,0.2,100,13.8,0.018,-9.9,0.0,100.0,0.0
11,11,11,1979,11,2,13.0,0.55,-9,0,0,0,0,7.8,7.8,4,0.14,0.2,0.2,0.2,100,13.8,0.037,-9.9,0.0,100.0,0.0
12,12,11,1979,12,2,12.0,0.57,-9,0,0,0,0,8.3,8.3,6,0.15,0.2,0.2,0.2,100,13.8,0.056,-9.9,0.0,100.0,0.0
13,13,11,1979,13,2,12.5,0.60,-9,0,0,0,0,8.8,8.8,5,0.16,0.3,0.3,0.3,100,13.8,0.077,-9.9,0.0,100.0,0.0
14,14,11,1979,14,2,14.5,0.62,0,0,0,0,0,9.5,9.5,0,0.17,0.3,0.3,0.3,100,13.8,0.101,-9.9,0.0,100.0,0.0
15,15,11,1979,15,2,16.5,0.66,0,0,0,0,0,10.3,10.3,0,0.18,0.4,0.4,0.4,100,13.8,0.126,-9.9,0.0,100.0,0.0
16,16,11,1979,16,2,14.0,0.68,0,0,0,0,0,11.1,11.1,0,0.20,0.4,0.4,0.4,100,13.8,0.153,-9.9,0.0,100.0,0.0
17,17,11,1979,17,2,10.5,0.70,0,0,0,0,0,11.7,11.7,13,0.21,0.2,0.2,0.2,100,13.8,0.178,-9.9,0.0,100.0,0.0
18,18,11,1979,18,2,10.0,0.72,0,0,0,0,0,12.3,12.3,16,0.22,0.2,0.2,0.2,100,13.8,0.203,-9.9,0.0,100.0,0.0
19,19,11,1979,19,2,12.0,0.74,0,0,0,0,0,13.0,13.0,6,0.23,0.3,0.3,0.3,100,13.8,0.232,-9.9,0.0,100.0,0.0
20,20,11,1979,20,2,13.0,0.76,0,0,0,0,0,13.9,13.9,4,0.24,0.3,0.3,0.3,100,13.8,0.265,-9.9,0.0,100.0,0.0
21,21,11,1979,21,2,11.5,0.78,0,0,0,0,0,14.7,14.7,8,0.26,0.3,0.3,0.3,100,13.8,0.297,-9.9,0.0,100.0,0.0
22,22,11,1979,22,2,12.0,0.80,0,0,0,0,0,15.6,15.6,6,0.27,0.3,0.3,0.3,100,13.8,0.332,-9.9,0.0,100.0,0.0
23,23,11,1979,23,2,12.5,0.82,0,0,0,0,0,16.6,16.6,5,0.29,0.3,0.3,0.3,100,13.8,0.37,-9.9,0.0,100.0,0.0
24,24,11,1979,24,2,13.0,0.84,0,0,0,0,0,17.8,17.8,4,0.30,0.3,0.3,0.3,100,13.8,0.41,-9.9,0.0,100.0,0.0
25,25,11,1979,25,2,12.5,0.86,0,0,0,0,0,18.9,18.9,5,0.32,0.3,0.3,0.3,100,13.8,0.452,-9.9,0.0,100.0,0.0
26,26,11,1979,26,2,12.0,0.88,0,0,0,0,0,20.1,20.1,6,0.34,0.3,0.3,0.3,100,13.8,0.496,-9.9,0.0,100.0,0.0
