Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1991	19.33	31.76	6.93	5.446348030004723
2	1	1991	16.96	33.26	1.15	5.44810094703693
3	1	1991	18.31	32.23	1.64	7.391740585052272
4	1	1991	18.47	32.54	6.69	6.50440114638339
5	1	1991	18.46	32.1	16.71	7.679028557622583
6	1	1991	17.02	28.09	0.07	5.068278806468358
7	1	1991	15.4	34.39	0.04	8.299905284704604
8	1	1991	20.76	32.93	34.37	6.081315139061449
9	1	1991	21.4	31.93	0.01	6.1401936601594285
10	1	1991	19.94	32.37	0.03	6.906079691110381
11	1	1991	18.81	32.81	0.12	7.190031943625366
12	1	1991	15.02	30.93	0.26	7.2566015809762945
13	1	1991	14.96	33.08	3.21	7.779963534749891
14	1	1991	17.77	35.32	7.97	8.55250763562487
15	1	1991	17.07	31.23	9.23	4.261508999133611
16	1	1991	10.94	24.92	0.0	6.833240124911113
17	1	1991	9.38	27.9	0.0	7.402879980531018
18	1	1991	11.71	29.84	0.42	6.7836703361786945
19	1	1991	14.65	33.14	0.0	8.349631080261421
20	1	1991	17.45	34.07	33.49	7.101485121671903
21	1	1991	15.93	29.09	0.02	7.024012123621961
22	1	1991	13.86	30.69	0.05	7.7676493924795285
23	1	1991	14.17	25.92	35.47	4.4824710670855765
24	1	1991	16.33	26.0	2.17	4.1999727715509305
25	1	1991	15.08	27.18	0.0	7.152263827915558
26	1	1991	14.35	30.47	0.0	7.5472314956958115
27	1	1991	14.0	31.6	0.01	8.059893790688472
28	1	1991	15.61	29.99	53.37	6.817315308129198
29	1	1991	11.05	24.55	4.85	6.323622246800857
30	1	1991	15.03	24.43	0.93	4.591353405072647
31	1	1991	12.99	27.22	0.0	7.0606346039928525
1	2	1991	12.33	31.48	0.38	8.058862576487886
2	2	1991	16.26	32.05	15.12	7.279049758219152
3	2	1991	18.55	31.86	11.96	7.0756719670447055
4	2	1991	17.87	30.44	0.0	4.5621662319596235
5	2	1991	15.47	29.14	0.0	6.4950888268332525
6	2	1991	15.07	30.3	0.38	7.148506443669421
7	2	1991	16.47	32.57	2.88	7.788181284571996
8	2	1991	15.37	32.98	0.8	6.717632575910638
9	2	1991	18.53	34.57	7.26	8.13150877413593
10	2	1991	16.63	32.15	0.2	3.92255587698473
11	2	1991	17.58	25.38	0.06	5.972286058206185
12	2	1991	14.62	29.79	0.32	7.263124207917656
13	2	1991	13.3	24.49	5.34	2.9861587820377395
14	2	1991	9.6	25.57	0.0	6.627554251652224
15	2	1991	9.58	28.49	0.0	7.302626920676415
16	2	1991	12.77	33.22	0.11	7.8822657140195425
17	2	1991	16.14	28.44	2.36	5.726496478016881
18	2	1991	16.24	32.97	11.73	7.210362919490601
19	2	1991	16.44	30.24	10.31	3.5675615631931445
20	2	1991	16.94	25.51	0.03	2.048888311308393
21	2	1991	14.25	31.14	0.01	7.155511482817882
22	2	1991	15.23	31.05	0.0	7.197025295530713
23	2	1991	12.5	29.04	0.0	6.9754885917119385
24	2	1991	13.7	31.03	0.0	7.005885085929518
25	2	1991	16.75	36.03	0.0	7.708030336826436
26	2	1991	20.85	34.62	97.33	6.786481667172522
27	2	1991	19.23	27.08	17.46	2.3357696648989625
28	2	1991	17.51	29.9	0.54	5.086338033353925
1	3	1991	17.83	30.25	3.7	2.8213453959749746
2	3	1991	15.37	30.83	0.02	5.558032213024284
3	3	1991	17.32	30.73	0.44	6.0193909997998745
4	3	1991	17.33	31.04	0.07	5.498312521815754
5	3	1991	18.73	28.65	19.62	5.52622341500327
6	3	1991	17.4	31.31	0.66	6.720111959131909
7	3	1991	19.26	27.71	0.26	4.093879978167945
8	3	1991	20.25	30.69	21.98	4.7593066831355
9	3	1991	16.79	22.84	0.26	2.8236080216697674
10	3	1991	14.68	27.48	0.0	4.419642696207668
11	3	1991	17.12	28.51	0.3	5.328925220667282
12	3	1991	18.29	32.43	0.14	6.572187358425562
13	3	1991	18.33	27.77	1.68	3.102342987971002
14	3	1991	17.05	30.29	0.07	4.142012628024196
15	3	1991	16.83	29.01	4.43	5.245445296178533
16	3	1991	15.99	30.95	0.0	5.557556102006418
17	3	1991	16.5	32.71	0.0	6.635571920979111
18	3	1991	15.83	32.15	0.0	6.656018135421345
19	3	1991	15.9	30.67	4.39	5.736080122032025
20	3	1991	14.34	26.69	0.0	3.6595048598112268
21	3	1991	15.4	30.62	0.0	4.813811066919831
22	3	1991	18.76	32.2	0.0	6.108318226893523
23	3	1991	19.83	33.79	0.06	5.740658371134118
24	3	1991	19.6	27.69	0.27	5.078601597967404
25	3	1991	16.51	27.23	1.73	2.3398365708234525
26	3	1991	13.13	26.15	0.0	5.012591136917708
27	3	1991	11.79	26.49	0.0	5.3511470180594465
28	3	1991	11.64	28.4	0.0	5.796287460055597
29	3	1991	12.26	29.31	0.0	5.774288469057457
30	3	1991	14.4	28.67	6.46	3.0429898323899742
31	3	1991	12.69	26.79	0.0	5.192944753042816
1	4	1991	12.05	26.76	1.83	5.264180214736044
2	4	1991	12.47	27.74	19.54	4.001160908759254
3	4	1991	11.05	16.28	1.54	0.9950921771990922
4	4	1991	10.21	22.36	0.36	4.59426800714772
5	4	1991	10.56	23.73	1.46	4.626434505788206
6	4	1991	12.7	20.59	2.5	2.431104211791321
7	4	1991	11.74	28.51	0.0	5.141708371544296
8	4	1991	12.84	25.86	0.0	4.1624592433570005
9	4	1991	18.99	29.55	0.05	4.154187326026566
10	4	1991	16.73	26.14	5.17	3.26862899621411
11	4	1991	15.56	26.33	13.04	3.7811396018866477
12	4	1991	12.44	20.01	2.29	1.4251312757611443
13	4	1991	11.59	22.51	0.1	2.514893643716308
14	4	1991	15.96	29.4	2.48	3.38790353426314
15	4	1991	15.91	23.99	6.37	3.014115686282417
16	4	1991	15.54	26.51	2.48	2.647877942560461
17	4	1991	7.23	18.83	0.06	3.5831728808403667
18	4	1991	4.98	16.76	0.0	3.444864942733146
19	4	1991	4.52	22.27	0.0	4.497555709286154
20	4	1991	7.55	22.22	0.0	4.104011332716361
21	4	1991	7.24	23.52	0.0	4.26314115406969
22	4	1991	10.26	27.76	0.02	4.967037719697391
23	4	1991	12.13	25.08	0.0	4.35104578794201
24	4	1991	11.23	25.43	0.0	4.404561419774876
25	4	1991	9.27	25.85	0.0	4.643136261585292
26	4	1991	10.35	27.51	0.0	4.818057939739889
27	4	1991	10.39	25.69	0.0	4.42987497357573
28	4	1991	12.12	23.55	0.02	3.507582899394123
29	4	1991	13.06	24.64	5.72	3.0676351659725922
30	4	1991	16.9	23.87	16.3	2.447036049546396
1	5	1991	13.21	24.8	0.32	3.6059468497647815
2	5	1991	14.57	23.89	3.04	2.5450299502237206
3	5	1991	9.59	18.62	0.06	2.1782452730137134
4	5	1991	5.89	17.42	0.0	2.065632017601544
5	5	1991	4.46	18.86	0.0	3.57676646097648
6	5	1991	4.91	17.9	0.81	3.1522947411554396
7	5	1991	6.69	22.4	0.0	3.8692257534616505
8	5	1991	7.56	23.37	0.0	4.010743331882921
9	5	1991	9.73	23.95	0.0	3.652542998595419
10	5	1991	10.36	24.14	0.0	3.871294209896911
11	5	1991	13.57	19.99	10.07	1.643125237076084
12	5	1991	10.33	19.41	0.1	2.250952165026093
13	5	1991	8.05	18.21	0.19	2.251493906691202
14	5	1991	7.57	21.87	0.0	3.53670268739751
15	5	1991	8.55	22.09	0.0	3.5626127192388823
16	5	1991	8.76	23.43	0.0	3.606266026922667
17	5	1991	11.31	24.33	0.0	3.5402867599492245
18	5	1991	13.31	24.4	0.0	2.828108818341629
19	5	1991	13.13	22.52	23.15	2.319883666342383
20	5	1991	9.44	14.3	0.69	0.8046423684779764
21	5	1991	7.57	14.37	1.23	1.2601538296239734
22	5	1991	6.08	20.85	0.0	3.4312727721460963
23	5	1991	6.4	21.65	0.0	3.4936378877572114
24	5	1991	8.77	21.7	0.0	3.09308083084046
25	5	1991	8.1	20.17	0.0	2.930070084006278
26	5	1991	13.4	24.12	0.0	2.030090181394809
27	5	1991	16.1	24.8	0.0	1.8815594638054225
28	5	1991	12.33	29.28	0.01	3.680731707032693
29	5	1991	12.77	27.12	2.09	2.777631388859633
30	5	1991	9.18	16.4	0.22	1.2327539786864565
31	5	1991	8.37	20.0	0.0	1.911912840604042
1	6	1991	9.21	19.25	1.23	1.7806406291729853
2	6	1991	11.23	21.3	3.36	1.6913818710714095
3	6	1991	6.64	19.41	0.78	3.0520134542182458
4	6	1991	5.23	17.26	0.06	2.5044444925448834
5	6	1991	4.12	17.43	0.0	2.3241591527849845
6	6	1991	-0.17	10.2	0.0	2.039703927883682
7	6	1991	-1.88	12.24	0.0	2.4129239939565523
8	6	1991	-0.08	13.48	0.0	2.3911307351798508
9	6	1991	2.3	16.51	0.0	2.810955127344247
10	6	1991	3.94	18.02	0.0	2.6001405045934094
11	6	1991	5.62	18.1	0.0	2.820181911851393
12	6	1991	5.62	16.56	0.05	2.3225486714495025
13	6	1991	8.17	16.86	2.2	1.5046889099655207
14	6	1991	9.83	19.39	2.41	1.525198530566605
15	6	1991	11.76	17.93	1.43	1.2000116651252553
16	6	1991	9.04	21.19	8.69	2.0273145008056597
17	6	1991	9.95	17.8	5.26	1.1716790385190254
18	6	1991	7.8	13.12	0.82	1.3806419824948604
19	6	1991	5.53	18.15	0.0	2.825140001763341
20	6	1991	2.8	11.23	0.36	1.523686989695634
21	6	1991	1.87	15.4	0.0	2.481962339951661
22	6	1991	1.65	13.21	0.0	2.4040098855625454
23	6	1991	1.48	16.66	0.0	2.788579188395022
24	6	1991	3.06	17.76	0.0	2.9040352016125808
25	6	1991	4.58	16.58	0.0	2.212848789750049
26	6	1991	4.87	15.57	0.01	2.423917800651311
27	6	1991	4.34	17.25	0.0	2.7677298855405406
28	6	1991	3.75	17.6	0.0	2.629762805239104
29	6	1991	4.2	16.96	0.0	2.6318900137172623
30	6	1991	4.05	19.75	0.0	3.196340472884104
1	7	1991	5.07	21.11	0.0	3.3896555389063403
2	7	1991	6.89	19.23	0.0	2.9396861174702695
3	7	1991	4.92	11.55	0.0	1.1938809863413828
4	7	1991	4.68	10.74	0.73	1.2461495382553442
5	7	1991	2.54	14.22	1.95	1.7238437296190505
6	7	1991	3.22	18.08	0.0	2.8964003522976998
7	7	1991	6.29	18.7	0.0	2.700716773265719
8	7	1991	7.59	20.89	0.0	2.246217841610364
9	7	1991	7.92	17.55	2.26	2.3821957065608528
10	7	1991	3.49	13.92	9.92	2.475091565133784
11	7	1991	0.19	15.84	0.09	2.361004331847065
12	7	1991	-0.03	7.91	0.1	1.3641619528662465
13	7	1991	-3.78	9.83	0.0	1.638605578493909
14	7	1991	-0.23	10.8	0.0	1.7893199416398675
15	7	1991	0.42	11.89	0.0	2.2791321862522724
16	7	1991	1.12	13.61	0.0	2.3591385443500146
17	7	1991	4.06	14.68	4.66	1.9769216442660706
18	7	1991	3.43	16.82	0.01	2.8890240276840187
19	7	1991	3.56	17.33	0.01	2.822364477573102
20	7	1991	3.48	14.42	0.31	1.4822758787470927
21	7	1991	1.67	12.92	0.0	2.290747723145057
22	7	1991	-1.58	13.66	0.0	2.6668558558474205
23	7	1991	-0.85	15.37	0.0	2.7208478479008615
24	7	1991	0.58	19.65	0.0	3.5285561315107286
25	7	1991	3.83	18.3	0.0	3.226936599541818
26	7	1991	4.35	22.05	0.0	3.696778213259928
27	7	1991	8.69	24.65	0.0	3.780962974721503
28	7	1991	7.96	16.32	0.4	1.6958751876700089
29	7	1991	5.05	15.18	0.42	1.5809552114674439
30	7	1991	3.68	16.23	0.0	2.9799235423773025
31	7	1991	2.25	17.59	0.0	3.1705637555715347
1	8	1991	-3.92	9.09	0.0	2.2021975709221935
2	8	1991	-4.01	11.88	0.0	2.654386555695978
3	8	1991	-2.77	11.46	0.0	2.533437177633396
4	8	1991	-2.53	15.69	0.0	3.1251224658184036
5	8	1991	0.51	16.6	0.0	3.1069847257289482
6	8	1991	3.13	17.89	0.0	3.291149971359988
7	8	1991	2.09	16.48	0.0	2.8828664162727087
8	8	1991	1.32	13.47	4.5	2.182947914889451
9	8	1991	1.15	7.86	2.3	1.186820108465696
10	8	1991	-1.74	11.95	0.0	2.6983791506733525
11	8	1991	-2.42	13.33	0.0	2.9709477895456677
12	8	1991	-0.85	15.53	0.0	3.168546514279772
13	8	1991	2.39	19.39	0.0	3.537220634017795
14	8	1991	6.77	23.85	0.0	4.264356796127818
15	8	1991	11.89	26.01	0.0	3.993157242530201
16	8	1991	11.57	27.59	0.0	4.359257113272933
17	8	1991	9.24	25.18	0.03	3.0356721967721843
18	8	1991	9.15	20.49	0.0	3.521411210710453
19	8	1991	9.12	23.19	0.0	3.8586376531882145
20	8	1991	11.68	16.54	25.89	1.7244958670505435
21	8	1991	10.69	22.08	2.22	2.5248621308783514
22	8	1991	9.87	21.88	1.2	3.4228144148368864
23	8	1991	6.67	21.99	0.0	3.7987813095777163
24	8	1991	8.23	21.2	0.03	2.771520926865575
25	8	1991	11.54	22.53	1.5	2.725788350554499
26	8	1991	6.06	19.44	0.0	3.9563728261821396
27	8	1991	5.55	20.77	0.0	4.078694561679399
28	8	1991	5.76	23.03	0.0	3.859287289057055
29	8	1991	10.26	24.73	0.03	4.501740677688053
30	8	1991	11.01	23.48	7.8	2.052748725941474
31	8	1991	6.91	10.57	7.46	1.0293481909902162
1	9	1991	8.02	11.38	0.53	0.8365986724794497
2	9	1991	8.27	16.09	1.29	2.1763414244946624
3	9	1991	8.32	20.04	3.35	2.124538214944665
4	9	1991	9.8	26.58	9.17	4.217471981479403
5	9	1991	9.38	18.5	2.0	1.6509227722548618
6	9	1991	8.07	19.11	0.36	3.9266620306720093
7	9	1991	7.19	19.78	3.41	4.134866310124261
8	9	1991	4.23	20.29	0.0	4.4258802112552385
9	9	1991	7.19	23.3	0.0	3.601966226426896
10	9	1991	12.25	24.74	0.0	4.3908832902119865
11	9	1991	12.76	28.99	0.0	5.309297618511778
12	9	1991	14.87	32.67	0.0	6.074112419636897
13	9	1991	10.83	21.66	0.02	3.0939100494526226
14	9	1991	6.01	17.22	0.28	2.471124256172316
15	9	1991	2.89	16.17	0.18	2.6968834973905107
16	9	1991	9.62	21.3	0.0	2.480057861070353
17	9	1991	9.64	15.71	0.0	2.1425163838599044
18	9	1991	7.38	23.2	0.0	4.745430483658579
19	9	1991	6.69	23.58	0.0	5.09013072666005
20	9	1991	12.24	29.63	0.0	4.24229326833063
21	9	1991	9.75	19.86	0.0	3.3506096826260086
22	9	1991	5.19	22.33	0.0	4.902532721167416
23	9	1991	5.04	21.77	0.0	4.84036809246512
24	9	1991	5.4	23.22	0.0	4.138794212652843
25	9	1991	7.51	25.49	0.0	5.584044146840434
26	9	1991	8.92	26.76	3.25	5.727773357506269
27	9	1991	8.36	21.87	0.0	4.31640849037477
28	9	1991	4.15	20.56	0.57	4.170962848503892
29	9	1991	7.16	23.7	0.0	4.498080674500619
30	9	1991	7.62	23.92	0.12	5.5196853122665335
1	10	1991	5.36	20.47	2.71	3.1073241254805977
2	10	1991	5.85	21.98	1.43	4.8891938196510605
3	10	1991	7.76	22.45	7.95	4.448301186195366
4	10	1991	7.51	17.73	2.45	2.2873062637947257
5	10	1991	5.34	13.23	10.89	0.9306377560290766
6	10	1991	3.36	16.39	0.0	3.715880937895464
7	10	1991	4.3	19.45	0.0	4.709801587449645
8	10	1991	4.26	21.46	0.0	5.013887381305446
9	10	1991	4.44	26.67	0.0	6.139100172459237
10	10	1991	7.96	28.78	0.0	6.657168973692823
11	10	1991	9.63	30.02	0.0	6.704713271922069
12	10	1991	14.72	30.2	0.01	6.164673646483199
13	10	1991	11.73	25.81	0.03	4.4330308562379095
14	10	1991	8.88	29.2	0.22	4.880102642373352
15	10	1991	8.54	20.19	0.0	3.041881282158644
16	10	1991	6.68	16.78	0.0	3.104902121766456
17	10	1991	4.96	25.76	0.0	6.4580876753679295
18	10	1991	6.64	28.9	0.0	7.126991359836918
19	10	1991	10.15	27.01	0.0	6.557319816203701
20	10	1991	9.86	30.02	0.0	7.122498126328308
21	10	1991	13.64	31.44	0.51	6.921400220641239
22	10	1991	13.29	29.76	0.04	4.446958940468484
23	10	1991	8.16	25.13	0.0	6.0702949871656875
24	10	1991	9.71	24.62	0.0	5.6824253419265345
25	10	1991	7.32	28.16	0.0	6.970736789297139
26	10	1991	10.22	30.16	14.45	7.299153376939211
27	10	1991	12.48	22.79	6.77	2.0633563902549534
28	10	1991	13.4	27.82	13.07	2.3601223884346476
29	10	1991	14.92	20.76	10.2	2.1613856842764294
30	10	1991	12.51	23.4	1.26	3.7334421710429466
31	10	1991	11.48	22.51	0.01	3.0379584480000617
1	11	1991	11.8	28.76	0.0	5.261436158491266
2	11	1991	13.27	28.84	0.0	6.165347668476192
3	11	1991	12.27	27.78	0.04	6.0803220352233645
4	11	1991	14.15	28.83	19.17	5.520776290007034
5	11	1991	15.4	23.24	0.92	2.504758293908433
6	11	1991	13.37	28.19	0.0	6.75070227417819
7	11	1991	10.32	28.64	0.12	7.373773553023618
8	11	1991	11.93	29.88	0.11	6.484843994372403
9	11	1991	12.97	26.9	23.34	4.591338066195667
10	11	1991	12.83	27.35	0.12	6.227106090770697
11	11	1991	9.52	21.68	0.06	4.705275474615576
12	11	1991	7.35	23.84	0.01	5.723720261967342
13	11	1991	11.07	24.36	0.98	3.792058285850493
14	11	1991	10.96	25.83	0.0	6.170739384580759
15	11	1991	12.22	29.65	0.37	6.9615926189114585
16	11	1991	12.68	30.73	7.98	5.908232666905727
17	11	1991	13.36	21.37	2.48	5.278055165098546
18	11	1991	12.67	27.74	0.0	6.186513311199857
19	11	1991	11.51	29.28	0.0	7.621515523040646
20	11	1991	14.01	32.05	0.0	7.934565797514431
21	11	1991	15.31	34.57	0.0	8.518990567143224
22	11	1991	16.7	38.01	0.26	7.521853981210294
23	11	1991	14.12	27.93	0.03	5.496077651331694
24	11	1991	10.94	27.87	0.0	7.0405048331831726
25	11	1991	10.1	28.42	0.65	6.930662362215994
26	11	1991	11.55	29.61	0.0	7.919213510854524
27	11	1991	13.23	30.75	0.0	6.922239718432229
28	11	1991	16.08	33.21	8.22	6.7320410344639905
29	11	1991	15.58	30.56	10.51	7.129493114730895
30	11	1991	12.87	33.96	0.83	8.384521068901867
1	12	1991	16.83	33.11	3.61	6.199600853284067
2	12	1991	15.96	33.94	0.03	7.337252847896039
3	12	1991	18.16	33.88	16.03	6.0864056707052505
4	12	1991	18.51	34.0	1.95	2.865457084656648
5	12	1991	19.04	29.24	3.31	5.772137866441412
6	12	1991	16.48	34.98	0.42	8.787910804149279
7	12	1991	16.37	22.02	15.36	2.495145180990952
8	12	1991	16.23	29.01	7.21	5.220164593208152
9	12	1991	16.41	25.37	7.21	5.625434460970963
10	12	1991	15.49	28.67	3.41	6.447878823788839
11	12	1991	11.62	25.93	1.22	6.1304806149829885
12	12	1991	9.78	27.59	0.36	7.495961554852275
13	12	1991	13.33	30.25	11.35	6.417873648006928
14	12	1991	16.78	24.27	1.56	2.8606898033566197
15	12	1991	14.75	23.82	13.67	4.83207374446385
16	12	1991	13.41	31.17	1.19	8.111483335690767
17	12	1991	16.64	29.18	0.06	5.028262386237854
18	12	1991	14.55	33.98	5.82	7.354660772128548
19	12	1991	17.15	26.29	16.13	2.7803929902171034
20	12	1991	16.54	24.9	7.08	5.569090999279892
21	12	1991	20.11	27.11	1.36	2.7665782775002943
22	12	1991	18.95	32.99	0.2	8.172064208173712
23	12	1991	17.32	32.21	12.14	7.248742407671902
24	12	1991	17.98	31.3	2.64	5.2949172641174505
25	12	1991	13.9	24.37	0.87	3.059101553168749
26	12	1991	11.28	26.58	0.0	7.286459731164709
27	12	1991	10.75	28.9	0.0	7.799408412230308
28	12	1991	14.67	29.18	85.01	6.476234309246846
29	12	1991	18.04	28.97	1.19	5.197938880343505
30	12	1991	19.06	25.46	4.62	2.636171102517979
31	12	1991	17.7	24.73	9.69	2.3327737031064926
1	1	1992	15.55	31.93	2.6	6.178360601563254
2	1	1992	12.42	27.92	0.0	7.023427474821935
3	1	1992	11.56	31.22	0.0	8.152286373307655
4	1	1992	15.18	32.14	0.0	8.216723240514785
5	1	1992	18.55	32.23	22.2	7.895888260160661
6	1	1992	18.28	25.15	12.18	2.2808680659818505
7	1	1992	17.33	30.26	0.05	4.957227998884486
8	1	1992	16.5	31.68	2.07	7.282301123309291
9	1	1992	16.98	34.05	0.23	6.5809405824211336
10	1	1992	19.83	26.74	0.88	4.898056065285941
11	1	1992	16.93	32.67	0.52	8.044327103491451
12	1	1992	17.58	27.4	1.01	5.407436244471972
13	1	1992	17.25	32.19	0.64	6.947944277520002
14	1	1992	13.75	29.6	0.04	4.901290049212717
15	1	1992	10.11	25.8	0.0	7.052462111993555
16	1	1992	10.87	26.73	0.0	7.176300443815772
17	1	1992	13.8	35.39	0.0	8.762760638989556
18	1	1992	17.1	33.98	0.0	8.422663567606916
19	1	1992	16.96	33.27	0.34	8.134964055979193
20	1	1992	19.15	30.15	0.04	7.122872885574413
21	1	1992	19.9	36.01	0.0	8.519441163926952
22	1	1992	17.52	34.21	0.0	8.375656169658031
23	1	1992	17.32	34.14	0.0	8.398115443613452
24	1	1992	15.64	33.58	0.0	8.260788495625196
25	1	1992	15.75	29.66	0.0	7.045141982969583
26	1	1992	17.89	33.13	0.02	7.263642349840677
27	1	1992	18.62	35.94	0.72	8.647807730450205
28	1	1992	19.73	35.68	0.21	6.879452762075815
29	1	1992	20.4	34.64	1.72	8.01065770507258
30	1	1992	19.02	30.74	10.12	6.535288325033325
31	1	1992	18.66	34.26	2.72	7.372547564276392
1	2	1992	19.36	26.51	3.53	4.221474315825077
2	2	1992	16.85	29.56	0.17	6.454510948638006
3	2	1992	17.08	32.34	49.0	7.8290505561068
4	2	1992	17.7	32.9	0.94	6.359305170845583
5	2	1992	18.78	31.67	0.0	6.050211066478883
6	2	1992	17.76	34.3	0.0	8.106693249710723
7	2	1992	18.78	31.95	24.94	6.833283185733702
8	2	1992	20.36	27.43	9.65	4.58484445329781
9	2	1992	16.5	22.94	9.78	4.861849600698403
10	2	1992	13.33	22.01	0.59	2.6627616631833257
11	2	1992	12.62	26.61	0.22	4.637145570810446
12	2	1992	14.55	27.62	1.89	4.4693170901486825
13	2	1992	15.59	24.57	12.4	1.8938496202585013
14	2	1992	14.28	28.46	0.0	6.802065202956804
15	2	1992	11.95	30.35	0.0	7.5747155549159135
16	2	1992	14.04	32.28	0.0	7.446774281796785
17	2	1992	18.99	33.75	0.0	7.2530958096905875
18	2	1992	20.44	35.07	0.01	7.680467792125594
19	2	1992	22.25	34.27	5.41	7.27886665225613
20	2	1992	17.84	30.64	0.4	5.407206054158568
21	2	1992	11.38	24.17	0.3	2.988986804202135
22	2	1992	10.99	26.94	0.0	5.796138538862881
23	2	1992	11.8	29.51	0.0	7.111291521794515
24	2	1992	13.47	31.14	0.0	7.097551677750658
25	2	1992	13.69	30.24	0.14	6.992558688187833
26	2	1992	15.55	30.55	0.73	5.602971712121761
27	2	1992	13.64	27.2	0.0	6.349223787070295
28	2	1992	10.99	29.11	0.0	6.847667171486292
29	2	1992	13.9	30.77	0.0	6.904198446256747
1	3	1992	12.59	31.16	0.0	7.2722872408597965
2	3	1992	14.08	31.12	0.0	7.087191296855691
3	3	1992	15.33	31.7	0.0	6.520980624774673
4	3	1992	16.03	32.81	0.0	7.216482811210365
5	3	1992	16.38	34.05	0.06	7.199737189343242
6	3	1992	17.02	34.58	0.71	6.725168974878175
7	3	1992	21.25	30.86	0.64	3.766134270030928
8	3	1992	21.3	30.62	31.15	5.536349887105026
9	3	1992	21.15	27.55	2.98	3.2749389594036327
10	3	1992	17.38	32.4	0.42	5.25988304664272
11	3	1992	18.02	32.8	0.0	6.891825047740545
12	3	1992	17.63	23.89	76.39	3.2970084470816006
13	3	1992	20.9	27.86	13.16	4.371935741165881
14	3	1992	20.31	28.75	5.83	4.672921481094802
15	3	1992	18.57	26.24	0.73	3.597248764202414
16	3	1992	17.23	29.88	0.0	6.134856985027005
17	3	1992	18.68	31.48	0.0	5.984398218755642
18	3	1992	19.42	33.66	1.05	6.236867641457033
19	3	1992	20.33	30.34	5.33	4.950981198119935
20	3	1992	17.69	32.09	0.28	5.982650595114038
21	3	1992	14.19	27.0	0.03	4.964766026810053
22	3	1992	9.15	20.56	0.0	4.507689651935295
23	3	1992	6.59	21.9	0.0	4.87400887732991
24	3	1992	7.73	26.01	0.0	5.726116597561516
25	3	1992	11.94	26.08	0.24	3.69283837775012
26	3	1992	16.06	23.05	16.8	1.779760904895566
27	3	1992	14.99	24.66	0.09	3.6074623853594234
28	3	1992	12.87	24.8	0.0	5.012308141709969
29	3	1992	11.83	27.34	0.0	5.5827798379272435
30	3	1992	11.34	27.12	0.0	5.534689272561284
31	3	1992	11.83	27.26	6.01	4.408584655890429
1	4	1992	14.47	23.99	2.26	3.6341000312124434
2	4	1992	12.35	27.59	2.65	4.915272741500259
3	4	1992	11.09	27.26	0.0	5.485934811622151
4	4	1992	11.86	24.54	5.2	3.500156695065596
5	4	1992	10.55	22.57	0.01	3.1776322999454587
6	4	1992	7.94	21.27	0.0	4.374700960074474
7	4	1992	6.31	23.31	0.0	5.011738104706304
8	4	1992	8.81	23.25	0.0	4.711171670273147
9	4	1992	8.11	22.94	0.0	4.559511996111533
10	4	1992	10.65	20.16	0.23	2.466050867349952
11	4	1992	10.64	21.15	0.0	3.0424808811358632
12	4	1992	7.5	23.65	0.0	4.72211583496128
13	4	1992	9.55	26.41	0.0	5.0355594511558825
14	4	1992	9.92	26.03	0.0	4.85642283514865
15	4	1992	9.46	25.8	0.0	4.850205845269145
16	4	1992	8.77	25.98	0.0	4.87324786290567
17	4	1992	10.74	26.29	0.0	4.68345606337348
18	4	1992	13.9	24.24	7.24	2.9900318023203516
19	4	1992	8.46	21.88	0.76	3.1276390423122287
20	4	1992	6.75	22.15	0.01	3.627480509075178
21	4	1992	6.85	19.83	1.79	2.229270656808881
22	4	1992	8.7	21.19	0.0	3.097125127978033
23	4	1992	5.31	21.76	0.0	4.055966053667284
24	4	1992	9.49	24.01	4.22	3.651998933196416
25	4	1992	8.1	19.8	0.6	2.1020127133052426
26	4	1992	9.1	21.62	0.06	2.3929750889482713
27	4	1992	9.4	23.19	0.02	3.312873371671197
28	4	1992	14.35	24.33	16.48	2.122706818677722
29	4	1992	10.19	19.43	0.05	3.018990303379193
30	4	1992	6.19	16.34	0.91	2.408811642706528
1	5	1992	3.88	20.1	0.0	3.7335508449251473
2	5	1992	4.26	18.13	0.0	3.5302505900911987
3	5	1992	5.31	21.03	0.0	3.871924045929053
4	5	1992	9.0	22.99	0.45	3.7609300674746615
5	5	1992	15.33	26.01	0.83	3.526194639354906
6	5	1992	18.26	27.61	0.5	3.207188114767126
7	5	1992	10.31	18.24	4.79	2.5032523585288042
8	5	1992	7.58	18.69	0.05	1.1775258724191235
9	5	1992	13.3	20.3	4.71	1.624123160542979
10	5	1992	14.86	22.84	8.02	2.1272519297709596
11	5	1992	9.22	20.36	0.0	3.441226956317527
12	5	1992	6.5	21.44	0.0	3.6364016337818525
13	5	1992	6.58	20.95	0.0	3.4520313560545803
14	5	1992	6.88	22.71	0.0	3.485674415036698
15	5	1992	9.54	21.7	0.0	2.6641835913527094
16	5	1992	8.14	21.8	0.0	3.2697682299555426
17	5	1992	8.38	21.69	0.01	2.845784427472611
18	5	1992	4.87	14.76	0.0	2.6204794992625566
19	5	1992	2.56	17.48	0.0	3.1184235670563334
20	5	1992	4.99	17.52	0.0	2.962935606935873
21	5	1992	7.83	20.8	0.0	3.2231587058421622
22	5	1992	4.35	18.62	0.0	3.129502644527992
23	5	1992	2.2	17.54	0.0	3.0278816628738534
24	5	1992	5.96	21.31	0.0	3.4002499491893508
